id,tipo,nombre,categoria,calle_y_numero,colonia,alcaldia,cp
44,Hotel,Hotel El Dorado,2 Estrellas,Orozco y Berra 131,Buenavista,Cuauhtémoc,6350
45,Hotel,Hotel Del Dorado,3 Estrellas,Avenida Cien Metros 1021,Nueva Industrial Vallejo,Gustavo A. Madero,7700
46,Hotel,Hotel Sevilla,4 Estrellas,Serapio Rendón 124,San Rafael,Cuauhtémoc,6470
47,Hotel,Hotel Fleming,3 Estrellas,Revillagigedo 35,Centro (Área 5),Cuauhtémoc,6050
48,Hotel,Hotel San Martín,3 Estrellas,Eje central Lázaro Cárdenas 84,Guerrero,Cuauhtémoc,6300
49,Hotel,Hotel Hilton Aeropuerto Ciudad de México,5 Estrellas,Avenida Capitán Carlos León sin número nueva terminal aérea piso 3,Peñón de los Baños,Venustiano Carranza,15520
50,Hotel,Gran Hotel Ciudad de México,5 Estrellas,16 de Septiembre 82,Centro (Área 1),Cuauhtémoc,6000
51,Hotel,Hotel Vermont,4 Estrellas,Vermont 29,Nápoles,Benito Juárez,3810
52,Hotel,Hotel Casa Blanca,3 Estrellas,Coahuila 27,Roma Norte,Cuauhtémoc,6700
53,Hotel,Hotel Muy,2 Estrellas,Antonio Caso 144,San Rafael,Cuauhtémoc,6470
54,Hotel,Hotel La Joya,1 Estrella,Ezequiel Montes 35,Tabacalera,Cuauhtémoc,6030
55,Hotel,Hotel San Alfonso,1 Estrella,Circunvalación 16,Morelos,Venustiano Carranza,15270
56,Hotel,Hotel El Patio,2 Estrellas,Avenida Insurgentes Norte 734,Santa María Insurgentes,Cuauhtémoc,6430
57,Hotel,Hotel Casa Blanca,1 Estrella,Manuel Gutierrez Nájera 34 A,Obrera,Cuauhtémoc,6800
58,Hotel,Suites Coyoacán,5 Estrellas,Avenida Coyoacán 1909,Acacias,Benito Juárez,3240
59,Hotel,Hotel Navío,2 Estrellas,Adolfo Gurrión 37,Merced Balbuena,Venustiano Carranza,15810
60,Hotel,Hotel Alvarado,1 Estrella,Fray Bernardino de Sahagún 12,Buenavista,Cuauhtémoc,6350
61,Hotel,Hotel Paraíso,1 Estrella,Ignacio Mariscal 99,Tabacalera,Cuauhtémoc,6030
62,Hotel,Hotel Marin / 77,Sin Clasificar,Antonio Caso 177,San Rafael,Cuauhtémoc,6470
63,Hotel,Suites Mi Casa,Sin Clasificar,General Prim 106,Juárez,Cuauhtémoc,6600
64,Hotel,Hotel Las Vegas,1 Estrella,Anillo de Circunvalación 1023,Centro (Área 9),Cuauhtémoc,6090
65,Hotel,Hotel Miramar,2 Estrellas,Calzada de Tlalpan 1550,Miravalle,Benito Juárez,3580
66,Hotel,Holiday Inn México Coyoacán,5 Estrellas,Calzada de Tlalpan 1507,Portales Sur,Benito Juárez,3300
67,Hotel,Hotel Torremolinos,4 Estrellas,Avenida Cuitláhuac 339,ProHogar,Azcapotzalco,2600
68,Hotel,Hotel Cien Metros,3 Estrellas,Avenida 100 metros 1191,Nueva Industrial Vallejo,Gustavo A. Madero,7700
69,Hotel,Hotel Huipulco,3 Estrellas,Huipulco 13,San Lorenzo Huipulco,Tlalpan,14370
70,Hotel,Hotel Prohogar,1 Estrella,Calle 17 104,Pro-hogar,Azcapotzalco,2600
71,Hotel,Motel Quinta Loreto,3 Estrellas,Miguel Lerdo de Tejada 260,Ampliación Petrolera,Azcapotzalco,2470
72,Hotel,Hotel Sol,2 Estrellas,Avenida Cuitláhuac 23,Prohogar,Azcapotzalco,2600
73,Hotel,Hotel Hipódromo,3 Estrellas,Calzada Legaria 185,Torre Blanca,Miguel Hidalgo,11280
74,Hotel,Hotel Martí,2 Estrellas,Arquitectos 63 esquina con José Martí,Escandón I sección,Miguel Hidalgo,11800
75,Hotel,Hotel Moderno,1 Estrella,Incas 9,Centro (Área 2),Cuauhtémoc,6010
76,Hotel,Hotel Rex,3 Estrellas,Obrero Mundial 937,Álamos,Benito Juárez,3400
77,Hotel,Hotel Quinta Las Delicias,2 Estrellas,Antonio Van Dick 24,Mixcoac,Benito Juárez,3910
78,Hotel,Hotel Museo,3 Estrellas,Héroes Ferrocarrileros 54,Santa María la Ribera,Cuauhtémoc,6400
79,Hotel,Hotel La Paloma,2 Estrellas,Orozco y Berra 187,Santa María la Ribera,Cuauhtémoc,6400
80,Hotel,Auto Hotel Max,3 Estrellas,Fernando de Alva Ixtlixochitl 23,Obrera,Cuauhtémoc,6800
81,Hotel,Hotel San Lorenzo,1 Estrella,Lorenzo Boturini 176,Obrera,Cuauhtémoc,6800
82,Hotel,Hotel Riviera,1 Estrella,José María Roa Bárcenas 117,Obrera,Cuauhtémoc,6800
83,Hotel,Hotel Goya,1 Estrella,Manuel Othon 133,Obrera,Cuauhtémoc,6800
84,Hotel,Hotel Polly,1 Estrella,Orozco y Berra 25,Guerrero,Cuauhtémoc,6300
85,Hotel,Hotel Xo Ha,3 Estrellas,Carretera federal a Cuernavaca 5855,San Pedro Mártir,Tlalpan,14650
86,Hotel,Hotel K 20,3 Estrellas,Carretera federal a Cuernavaca 6233,San Pedro Mártir,Tlalpan,14650
87,Hotel,Hotel Chopo,2 Estrellas,Doctor Enrique González Martínez  7,Santa María la Ribera,Cuauhtémoc,6400
88,Hotel,Apartamentos Amueblados Colonia Del Valle,2 Estrellas,Avenida Colonia del Valle 407,Del Valle Centro,Benito Juárez,3100
89,Hotel,Hotel La Villa,2 Estrellas,Calzada de Guadalupe 677,Aragón la Villa,Gustavo A. Madero,7000
90,Hotel,Motel La Flor,2 Estrellas,Avenida Insurgentes Norte 1020,Tlacamaca,Gustavo A. Madero,7380
91,Hotel,Hotel Cartagena,3 Estrellas,Norte 1 C 4835,Tlacamaca,Gustavo A. Madero,7380
92,Hotel,Hotel Villa Quijotes,3 Estrellas,Moctezuma 20,Aragón la Villa,Gustavo A. Madero,7000
93,Hotel,Hotel Faro,3 Estrellas,Avenida Alfredo Robles Domínguez 197,Guadalupe Insurgentes,Gustavo A. Madero,7870
94,Hotel,Hotel Samil Plaza,4 Estrellas,Calzada de Guadalupe 54,ExHipódromo de Peralvillo,Cuauhtémoc,6250
95,Hotel,Hotel Balbuena,1 Estrella,Carretones 136,Merced Balbuena,Venustiano Carranza,15810
96,Hotel,Hotel Condesa,4 Estrellas,Calzada de Tlalpan 911,Josefa Ortiz de Domínguez,Benito Juárez,3430
97,Hotel,Hotel San Juan,2 Estrellas,Doctor Jesús Valenzuela 40,Doctores,Cuauhtémoc,6720
98,Hotel,Hotel Durán,Sin Clasificar,Doctor Durán 99,Doctores,Cuauhtémoc,6720
99,Hotel,Hotel Córdoba,2 Estrellas,Fray Servando Teresa de Mier 511,Merced Balbuena,Venustiano Carranza,15810
100,Hotel,Hotel Campo Real,4 Estrellas,Prolongación División del Norte 5171,Potrero de San Bernardino,Xochimilco,16030
101,Hotel,Hotel Duque,3 Estrellas,Avenida Cuatro 38,Valentín Gómez Farías,Venustiano Carranza,15010
102,Hotel,Hotel Castillo,3 Estrellas,Calzada de Tlalpan 1606,Ermita,Benito Juárez,3590
103,Hotel,Hotel Del Sur,3 Estrellas,Calzada Ignacio Zaragoza 1398,Juan Escutia,Iztapalapa,9100
104,Hotel,Hotel Seoul,3 Estrellas,Lecumberri 79,Morelos,Venustiano Carranza,15270
105,Hotel,Hotel Antas,2 Estrellas,Miguel Negrete 9,Centro,Cuauhtémoc,15100
106,Hotel,Hotel La Rosa,3 Estrellas,Eligio Ancona 269,Santa María la Ribera,Cuauhtémoc,6400
107,Hotel,Hotel Conde,3 Estrellas,Pescaditos 15,Centro (Área 7),Cuauhtémoc,6070
108,Hotel,Hotel Gama,Sin Clasificar,Lago Zug 21,Torre Blanca,Miguel Hidalgo,11280
109,Hotel,Hotel La Casona,5 Estrellas,Durango 280,Roma Norte,Cuauhtémoc,6700
110,Hotel,Hotel Eje Villas y Suites,3 Estrellas,Doctor Roberto Solís Quiroga 213,Buenos Aires,Cuauhtémoc,6780
111,Hotel,Hotel Ribadavia,1 Estrella,Wagner 6,Ex-Hipódromo de Peralvillo,Cuauhtémoc,6250
112,Hotel,Hotel Mx Congreso,3 Estrellas,Avenida Ferrocarril Interoceánico 9,Morelos,Venustiano Carranza,15270
113,Hotel,Hotel Moctezuma,2 Estrellas,Moctezuma 21,Aragón la Villa,Gustavo A. Madero,7000
114,Hotel,Hotel Del Comercio,Sin Clasificar,Fray Bernardino de Sahagún 19,Guerrero,Cuauhtémoc,6300
115,Hotel,Hotel Atenas Plaza,4 Estrellas,Calzada Ermita Iztapalapa 867,Santa Isabel Industrial,Iztapalapa,9820
116,Hotel,Hotel Marsella,3 Estrellas,Peralvillo 107,Morelos,Cuauhtémoc,6200
117,Hotel,Hotel Detroit,3 Estrellas,Zaragoza 55,Guerrero,Cuauhtémoc,6300
118,Hotel,Hotel Dharma,2 Estrellas,Eje Mosqueta 200,Buenavista,Cuauhtémoc,6350
119,Hotel,Hotel Ibiza,2 Estrellas,Ponciano Arriaga 22,Tabacalera,Cuauhtémoc,6030
120,Hotel,Hotel España,1 Estrella,Avenida Puente de Alvarado 100,Tabacalera,Cuauhtémoc,6030
