id,wkt_geom,nombre,linea,lon,lat,geopoint
163,PointZ (-99.16105699999999956 19.42780499999999932 0),Hamburgo,Línea 1,-99.16105700000001,19.427805,"19.427805,-99.161057"
164,PointZ (-99.15880600000001266 19.43306499999999915 0),Reforma,Línea 1,-99.158806,19.433065,"19.433065,-99.158806"
165,PointZ (-99.15722700000002021 19.43615199999999987 0),Plaza de la República,Línea 1,-99.15722700000002,19.436152,"19.436152,-99.157227"
166,PointZ (-99.15459400000000301 19.44310199999999966 0),El Chopo,Línea 1,-99.154594,19.443102,"19.443102,-99.154594"
167,PointZ (-99.14915499999999327 19.4568809999999992 0),Manuel González,Línea 1,-99.149155,19.456881,"19.456881,-99.149155"
168,PointZ (-99.12773900000001959 19.48247299999999882 0),Euzkaro,Línea 1,-99.12773900000002,19.482473,"19.482473,-99.127739"
169,PointZ (-99.18675199999999847 19.40183999999999997 0),Terminal Tacubaya. Metrobús. Línea 2,Línea 2,-99.186752,19.40184,"19.40184,-99.186752"
170,PointZ (-99.1837459999999993 19.40765999999999991 0),De La Salle,Línea 2,-99.18374600000001,19.40766,"19.40766,-99.183746"
171,PointZ (-99.17397300000001792 19.40439999999999898 0),Escandón,Línea 2,-99.173973,19.4044,"19.4044,-99.173973"
172,PointZ (-99.16411600000000703 19.39692900000000009 0),Amores,Línea 2,-99.164116,19.396929,"19.396929,-99.164116"
173,PointZ (-99.1556850000000054 19.39586800000000011 0),Etiopía. Línea 2,Línea 2,-99.155685,19.395868,"19.395868,-99.155685"
174,PointZ (-99.14255500000000154 19.39460400000000107 0),Álamos,Línea 2,-99.142555,19.394604,"19.394604,-99.142555"
175,PointZ (-99.09947999999999979 19.39686999999999983 0),Goma,Línea 2,-99.09948000000001,19.39687,"19.39687,-99.09948"
176,PointZ (-99.0961070000000035 19.39650699999999972 0),Iztacalco,Línea 2,-99.096107,19.396507,"19.396507,-99.096107"
177,PointZ (-99.07414199999999482 19.38756199999999907 0),Río Frío,Línea 2,-99.074142,19.387562,"19.387562,-99.074142"
178,PointZ (-99.05175800000000663 19.38493000000000066 0),General Antonio de León,Línea 2,-99.051758,19.38493,"19.38493,-99.051758"
179,PointZ (-99.15601300000000151 19.39645600000000059 0),Terminal Etiopía-Plaza de la Transparencia,Línea 3,-99.156013,19.396456,"19.396456,-99.156013"
180,PointZ (-99.14807899999999563 19.43138899999999936 0),Juárez. Línea 3,Línea 3,-99.148079,19.431389,"19.431389,-99.148079"
181,PointZ (-99.14719399999999894 19.43593999999999866 0),Hidalgo,Línea 3,-99.147194,19.43594,"19.43594,-99.147194"
