id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21970394,Bonito y comodo departamento,73247842,Adriana,,Benito Juárez,19.38745,-99.18032,Entire home/apt,991,3,6,2018-12-30,0.38,1,4
21977609,Loft amueblado a 5 minutos de Polanco,42758169,Rodrigo,,Miguel Hidalgo,19.43433,-99.17716,Entire home/apt,705,2,104,2019-05-19,5.82,5,328
21977730,Independent Bedroom with private Bathroom,160460168,Jose,,Venustiano Carranza,19.44225,-99.09508,Private room,342,1,40,2019-05-05,2.38,1,365
21977994,"Spacious bedroom-private bath, balcony and gym.",158729675,Farid,,Benito Juárez,19.38649,-99.17934,Private room,400,5,1,2018-01-05,0.06,1,0
21979585,departamentos amueblados zona tlalpan,160476384,Roberto,,Tlalpan,19.27477,-99.16184,Entire home/apt,1506,6,0,,,1,365
21981240,Kramer Suite in Roma Condesa by La Palomilla,10014804,La Palomilla,,Cuauhtémoc,19.41902,-99.1733,Private room,3049,2,1,2018-03-04,0.07,9,309
21981341,Cozy Studio + Best Location,96218673,Oswaldo,,Benito Juárez,19.38831,-99.1727,Entire home/apt,686,2,30,2019-04-22,1.70,1,114
21982151,"NEW, SAFE & COZY apt. in the heart of México soho!",1007542,Roberto,,Cuauhtémoc,19.42985,-99.1611,Entire home/apt,1201,2,31,2019-04-08,1.83,1,227
21983272,Increíble Loft muy buena ubicación,160510697,Jorge Carlos,,Benito Juárez,19.37725,-99.15264,Entire home/apt,553,2,18,2019-04-27,1.00,1,87
21983628,PRIVATE ROOM IN CONDESA,6604980,Luis,,Cuauhtémoc,19.40788,-99.17717,Private room,229,2,36,2019-05-04,2.05,1,333
21984806,"Micro estudio, entrada independiente y wc privado.",160525635,Elia,,Benito Juárez,19.36278,-99.153,Private room,210,6,8,2019-04-28,0.52,1,50
21991548,Unique Suite in the Cultural Heart of Coyoacán,103982219,Emiliano,,Coyoacán,19.34593,-99.16364,Private room,457,4,7,2019-04-20,0.40,2,0
21992817,Lovely room-great location,973572,Adrian,,Cuauhtémoc,19.42716,-99.17374,Private room,610,2,17,2019-03-26,1.05,2,337
