id,tipo,nombre,categoria,alcaldia
472,Hotel,Hotel Mazoy,1,6
473,Hotel,Suites San Marco,4,6
474,Hotel,Hotel San Diego,3,6
475,Hotel,Hotel Atlampa,3,6
476,Hotel,Hotel Azores,3,6
477,Hotel,Hotel Kennedy,0,15
478,Hotel,Hotel Manolete,1,6
479,Hotel,Hotel Savoy,1,6
480,Hotel,Hotel Vigo,3,2
481,Hotel,Hotel Dos Naciones,3,6
482,Hotel,Hotel La Milpa,0,7
483,Hotel,Hotel Nevada,3,6
484,Hotel,Motel Ermita,3,9
485,Hotel,Hotel La Fuente,2,6
486,Hotel,Hotel Jardines de Churubusco,2,4
487,Hotel,Hotel Progreso,1,11
488,Hotel,Hotel Triana,1,3
489,Hotel,Hotel Diana,1,3
490,Hotel,Hotel Costa del Sol,4,14
491,Hotel,Hotel Empire,2,6
492,Hotel,Hotel Durango,2,6
493,Hotel,Apartamentos Amueblados Alzate,3,6
494,Hotel,Hotel Taxco,1,6
495,Hotel,Hotel Mina,1,6
496,Hotel,Hotel Inn Sur,4,14
497,Hotel,Hotel Princesa,3,3
498,Hotel,Hotel & Villas Juan Diego,3,7
499,Hotel,Hotel El Pilar,3,11
500,Hotel,Hotel Río Miño,1,15
501,Hotel,Hotel Olimpo,3,7
502,Hotel,Hotel Los Cabos,3,7
503,Hotel,Hotel Turismo,1,7
504,Hotel,Hotel Platino,2,15
505,Hotel,Hotel D'Casa,2,15
506,Hotel,Hotel Plaza Las Torres,2,9
507,Hotel,Hotel Aeropuerto,3,15
508,Hotel,Hotel Parque Vía,3,11
509,Hotel,Hotel Imperio,1,11
510,Hotel,Hotel Del Sur,0,11
511,Hotel,Hotel Faro,2,6
512,Hotel,Motel Los Arcos,3,5
513,Hotel,Hotel Jamaica,0,6
514,Hotel,Hotel Lepanto,3,6
515,Hotel,Hotel Orense,1,6
516,Hotel,Hotel América,1,6
517,Hotel,Motel Torre Negra,3,8
518,Hotel,Auto Hotel Super Star,3,8
519,Hotel,Hotel Camino Plaza,4,9
520,Hotel,Hotel San Fernando,1,6
521,Hotel,Hotel Pigal,3,6
522,Hotel,Hotel Valencia,0,11
523,Hotel,Paraiso del Sur Villas & Suites,3,14
524,Hotel,Hotel Las Glorias,1,11
525,Hotel,Hotel Balmis,0,6
526,Hotel,Hotel Del Norte,1,6
527,Hotel,Hotel Zaragoza,2,6
528,Hotel,Gran Hotel La Paz,2,6
529,Hotel,Hotel Jerez,0,15
530,Hotel,Hotel Corona,1,11
531,Hotel,Hotel Bolivia,2,6
532,Hotel,Hotel San Lázaro,2,15
533,Hotel,Hotel Ancona,1,6
534,Hotel,Hotel La Toja,1,6
535,Hotel,Santa Fe Hotel,2,1
536,Hotel,Hotel Héroes,3,6
537,Hotel,Centra2 Hotel,3,6
538,Hotel,Hotel Antenas,3,7
539,Hotel,Hotel Park Villa,4,11
540,Hotel,Hotel Pensil,1,11
541,Hotel,Hotel Madero,1,7
542,Hotel,Hotel Bellini,2,6
543,Hotel,Hotel Miguel Ángel,3,6
544,Hotel,Hotel Andrade,4,6
545,Hotel,Hotel Soledad,0,6
546,Hotel,Hotel Cies,2,6
547,Hotel,Hotel Suido,3,6
548,Hotel,Hotel Atoyac,1,6
549,Hotel,Hotel Juárez,2,6
550,Hotel,Hotel Villa Del Mar,1,6
551,Hotel,Hotel Consulado,2,11
552,Hotel,Hotel Templo Mayor,4,6
553,Hotel,Hotel Nayarit,2,6
554,Hotel,Hotel Valencia,1,6
555,Hotel,Hotel Siesta del Sur,4,13
556,Hotel,Hotel Harare,4,3
557,Hotel,Hotel Lavanda,2,7
558,Hotel,Hotel Escorial,1,6
559,Hotel,Hotel Recreo,1,6
560,Hotel,Hotel Central,1,6
561,Hotel,Hotel Río,1,6
562,Hotel,Hotel Catalina,3,6
563,Hotel,Hotel Ampudia,2,6
564,Hotel,Hotel Aviación,1,15
565,Hotel,Hotel Cadena,0,6
566,Hotel,Hotel Bugambilias,1,9
567,Hotel,Hotel Florida,2,6
568,Hotel,Hotel Plaza Belices,4,6
569,Hotel,Hotel Ticomán Plaza,3,7
570,Hotel,Hotel Villas Coloniales,3,2
571,Hotel,Hotel Norte,3,6
572,Hotel,Hotel Las Américas,2,6
573,Hotel,Flowsuites WTC,4,3
574,Hotel,Hotel Panorama,3,6
575,Hotel,Hotel Escandón by Kali,4,11
576,Hotel,Hotel Fiesta Inn Periférico Sur,5,4
577,Hotel,Hotel Prado Floresta,2,6
578,Hotel,Hotel Caban,4,16
579,Hotel,Hotel Corona Real,3,3
580,Hotel,Holiday Inn Express Hotel & Suites at The WTC,4,3
581,Hotel,Hotel Four Points by Sheraton México City,5,6
582,Hotel,City Express EBC Reforma,4,6
583,Hotel,Camino Real Santa Fe,5,1
584,Hotel,Hostel Condesa Chapultepec,0,6
585,Hotel,Hampton Inn & Suites By Hilton Ciudad de México Centro Histórico,5,6
586,Hotel,Hotel Novit,5,3
587,Hotel,Holiday Inn & Suites México Médica Sur,5,14
588,Hotel,NH Collection México City Airport T2,5,15
589,Hotel,Hotel Room Mate Valentina,4,6
590,Hotel,One Ciudad de México Patriotismo,3,3
591,Hotel,Casa Comtesse,0,6
592,Hotel,Hotel La Casa de la Luna,3,6
593,Hotel,Comfort Inn Santa Fe Bosques,4,1
594,Hotel,Suites Masliah,5,11
595,Hotel,Hilton México City Santa Fe,5,1
596,Hotel,Ibis Styles México Zona Rosa,3,6
597,Hotel,Hotel Tryp World Trade Center,4,3
598,Hotel,Suites Extasis S.A. de C.V.,2,8
599,Hotel,Motel Tentación S.A. de C.V.,2,9
600,Hotel,Ibis México Alameda,3,6
601,Hotel,St. Isidro Corporate Housing,5,11
602,Hotel,Las Suites Polanco,5,11
603,Hotel,Holiday Inn Express México Reforma,5,6
604,Hotel,Hotel Presidente Inter-Continental Santa Fe,5,5
605,Hotel,Live Aqua Mexico City & Spa,5,5
606,Hotel,Hotel Viaducto,4,8
607,Hotel,City Express Plus Insurgentes Sur,4,3
608,Hotel,Suites Ganges,4,6
609,Hotel,Wyndham Garden Residences México City,4,6
610,Hotel,City Express Plus Santa Fe,4,5
611,Hotel,Hotel Exe Cities Reforma,4,6
612,Hotel,City Express La Raza,4,2
613,Hotel,City Express Plus Patio Universidad,4,3
614,Hotel,Hotel Marlowe,3,6
615,Hotel,Hotel Fiesta Americana Grand Chapultepec,5,11
616,Hotel,Hotel Courtyard by Marriott Revolución,5,11
617,Hotel,Holiday Inn México Dalí Aeropuerto,5,15
618,Hotel,Hotel Royal Pedregal,5,14
619,Hotel,Hotel Presidente Inter-Continental Mexico City,5,11
620,Hotel,Hotel Habita,5,11
621,Hotel,Crowne Plaza Hotel de México,5,3
622,Hotel,The St. Regis México City,5,6
623,Hotel,Hotel Las Alcobas,5,11
624,Hotel,Anys Hostal y Cafetería,0,6
625,Hotel,One Ciudad de México La Raza,3,6
626,Hotel,Sleep Inn Ciudad de México,5,5
627,Hotel,Casa Pepe Hostal Boutique,0,6
628,Hotel,Fiesta Americana Viaducto Aeropuerto,5,8
