id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19303797,Perfect 2 Bedroom apartment near Reforma.,135122543,Guadalupe,,Cuauhtémoc,19.4259,-99.159,Entire home/apt,1414,3,85,2019-11-19,3.38,5,348
19304067,Queen Size Bedroom Narvarte,134275953,Alejandro,,Benito Juárez,19.39962,-99.15932,Private room,697,1,1,2019-02-15,0.11,3,179
19306496,Viaducto 361,132980284,Alejandra,,Iztacalco,19.40463,-99.11512,Entire home/apt,581,2,71,2019-11-21,3.23,1,316
19307705,"Cozy, beautiful room in spacious Polanco apartment",60265317,Adriana,,Miguel Hidalgo,19.43542,-99.18596,Private room,697,1,2,2017-07-09,0.07,6,0
19308194,Habitación donde sentirte como en casa Coyoacan,135219604,Bertha,,Coyoacán,19.35051,-99.12524,Private room,349,3,2,2018-08-24,0.10,1,297
19309143,Book Room,73784206,Alejandra,,Benito Juárez,19.40159,-99.15187,Private room,271,2,1,2017-07-20,0.03,3,0
19309703,Room in the heart of the Downtown,51374046,Carlos,,Cuauhtémoc,19.42763,-99.14299,Private room,349,3,102,2019-11-25,3.45,1,88
19309766,Beautiful penthouse Room at the Heart of the City,15727246,Rafael,,Benito Juárez,19.37833,-99.1757,Private room,349,1,12,2019-11-03,0.42,1,266
19310868,High end apartment near Chapultepec Park,7116995,,,Miguel Hidalgo,19.43101,-99.17918,Entire home/apt,1743,2,17,2019-11-24,0.92,1,27
19311927,Nice quiet room in Del Valle Mexico City,134777807,Fernando,,Benito Juárez,19.37686,-99.17286,Private room,271,1,65,2019-11-18,2.21,1,117
19312809,HomFor Viaducto: Apartamento,84712824,Javier,,Iztacalco,19.40643,-99.1074,Entire home/apt,1104,1,67,2019-11-18,2.59,10,135
19313133,Single Apartment 205 @Izta54,112328574,Diana,,Cuauhtémoc,19.40996,-99.17037,Private room,2499,1,0,,,12,354
19315172,"COZY, SPACIOUS & BEAUTIFUL IN THE HEART OF CONDESA",30570476,Sandra,,Cuauhtémoc,19.4124,-99.17564,Entire home/apt,2324,6,15,2019-10-27,0.51,1,22
19315449,Gran Casa en la Mejor Zona CONDESA CASA TURQUESA n,134863823,Lau,,Cuauhtémoc,19.40983,-99.16906,Entire home/apt,5811,1,33,2019-10-29,1.22,8,65
19317218,Downtown Oasis,96895756,Sofía,,Cuauhtémoc,19.43029,-99.13242,Private room,484,2,84,2019-11-11,2.98,1,158
19323407,Depa funcional,135349693,Barbara,,Cuauhtémoc,19.42522,-99.17582,Private room,387,1,1,2017-07-09,0.03,1,0
19325266,Light-filled apartment in central Condesa,10123183,Linsey,,Cuauhtémoc,19.40865,-99.17161,Entire home/apt,1937,2,5,2018-04-02,0.19,1,0
19326835,Bienvenid@s a CDMX/ Welcome to Mexico City,113212684,Fausto,,Cuauhtémoc,19.4433,-99.15915,Private room,232,1,6,2018-10-29,0.21,1,364
19328575,COZY LOFT CLOSE TO SANTA FE,135390484,Francisco Javier,,Cuajimalpa de Morelos,19.35821,-99.28892,Private room,697,3,0,,,1,365
19330681,Departamento con jardin al frente en Lomas,4715943,Eduardo,,Miguel Hidalgo,19.41957,-99.2155,Entire home/apt,1201,1,1,2017-08-04,0.04,8,0
19332686,Hares Polanco.,28400330,Paulina,,Miguel Hidalgo,19.43782,-99.1783,Private room,794,1,0,,,1,0
19333425,"Casa de Estudiantes de UPN, COLMEX y UNAM.",104708177,Roman Ernesto,,Tlalpan,19.28562,-99.21899,Shared room,194,120,0,,,2,364
19334660,La casa de  blanchis,135445776,Blanca,,Benito Juárez,19.39063,-99.17645,Private room,291,2,66,2019-11-21,2.25,1,327
19344389,Master Suite,55904442,Gloria Amalia,,Benito Juárez,19.38588,-99.15467,Entire home/apt,1143,2,3,2019-07-21,0.11,8,31
19346397,Comfty Room in the Heart of Condesa,44693753,Francisco,,Cuauhtémoc,19.40751,-99.17201,Private room,504,4,68,2019-10-30,2.34,2,60
19347072,Prehispanic style appartment,135563596,Angelica,,Benito Juárez,19.3944,-99.14204,Private room,1162,2,10,2018-05-06,0.35,3,365
19349791,Private room near Parque Mexico,135592119,Andrés,,Cuauhtémoc,19.41628,-99.16721,Private room,407,1,11,2018-11-03,0.40,1,178
19355346,Peaceful bedroom in La Roma,11854929,Antonio,,Cuauhtémoc,19.40657,-99.15986,Private room,581,1,0,,,1,0
19358874,Fantastic location in Santa Fe 3- Mexico City,49526080,Simone Regina,,Cuajimalpa de Morelos,19.36204,-99.26757,Private room,891,2,13,2019-04-12,0.44,4,14
19359858,Oasis en La Del Valle,135683673,Alejandro,,Benito Juárez,19.37875,-99.17302,Entire home/apt,1007,1,2,2017-09-09,0.07,1,0
19360471,Bright and clean apartment in Narvarte (2br),135689042,Adriana,,Benito Juárez,19.39103,-99.15247,Entire home/apt,697,2,20,2018-10-06,0.68,1,0
